Gene,score,was used in training,link to MGI
Calb1,6.0616,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Calb1
TC1568100,4.8991,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=TC1568100
Slc1a6,4.7941,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Slc1a6
Ttll5,4.7824,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ttll5
Slc1a3,4.6257,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Slc1a3
Pcp4,4.4501,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Pcp4
Cdc42ep4,4.3963,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cdc42ep4
Gng13,4.3638,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gng13
Ppap2b,4.139,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ppap2b
3110001A13Rik,4.0372,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=3110001A13Rik
Pcsk6,4.0253,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pcsk6
Stk17b,3.9228,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Stk17b
Lgi4,3.844,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Lgi4
Tex261,3.4996,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tex261
Cpne2,3.4589,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cpne2
Large,3.4115,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Large
Grid2,3.3384,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Grid2
LOC240906,3.3099,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=LOC240906
Dpy19l3,3.2843,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dpy19l3
8430415E04Rik,3.2677,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=8430415E04Rik
Trpc3,3.2279,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Trpc3
Gpr63,3.1318,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gpr63
Grid2ip,3.1125,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Grid2ip
Timp4,3.1048,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Timp4
BC055107,3.0911,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=BC055107
Dpp10,3.0574,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dpp10
3830431G21Rik,3.0469,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=3830431G21Rik
Psd2,3.0338,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Psd2
Atp2a3,3.0329,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Atp2a3
Slc30a3,3.0114,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Slc30a3
Nt5dc3,3.0102,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Nt5dc3
9030624G23Rik,2.8733,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=9030624G23Rik
Inpp5a,2.8002,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Inpp5a
Gpld1,2.7516,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gpld1
Ttyh1,2.6994,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Ttyh1
Slc9a3,2.6586,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Slc9a3
Gm837,2.6129,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gm837
Prkcc,2.6061,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Prkcc
0610007P14Rik,2.5953,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=0610007P14Rik
Foxp4,2.5541,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Foxp4
Dgkh,2.5297,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dgkh
Pappa2,2.529,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pappa2
Sepw1,2.4821,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sepw1
Cyp2j9,2.446,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cyp2j9
Camk2a,2.3822,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Camk2a
Etv5,2.3769,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Etv5
Gdf10,2.3595,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gdf10
LOC433258,2.3585,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=LOC433258
Zfp346,2.3448,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Zfp346
Plcb3,2.2871,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Plcb3
Hbegf,2.2856,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Hbegf
Prkg1,2.2809,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Prkg1
C130096N06Rik,2.2805,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=C130096N06Rik
Kctd12,2.2776,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Kctd12
C230078M14Rik,2.2765,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=C230078M14Rik
Thyn1,2.248,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Thyn1
Cdgap,2.2371,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cdgap
D330017J20Rik,2.2356,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=D330017J20Rik
Col5a1,2.2006,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Col5a1
Slc1a2,2.1598,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Slc1a2
0610010O12Rik,2.1428,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=0610010O12Rik
Mlstd1,2.1297,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Mlstd1
Doc2b,2.1085,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Doc2b
Strn3,2.1046,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Strn3
Id2,2.102,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Id2
LOC432748,2.0781,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=LOC432748
Prdx6,2.0687,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Prdx6
Prosc,2.0665,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Prosc
Ift57,2.0642,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ift57
1810007M14Rik,2.0562,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=1810007M14Rik
Grik1,2.0437,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Grik1
3110082D06Rik,2.0345,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=3110082D06Rik
Phactr2,1.954,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Phactr2
AK129341,1.9293,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=AK129341
mCG18431.2,1.9235,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=mCG18431.2
Slc41a3,1.9175,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Slc41a3
Rreb1,1.9163,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rreb1
LOC384349,1.9135,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=LOC384349
Arhgap26,1.9073,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Arhgap26
Gtf2h2,1.8915,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Gtf2h2
Garnl3,1.873,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Garnl3
Lxn,1.8712,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Lxn
6430704M03Rik,1.839,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=6430704M03Rik
Hrbl,1.8274,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Hrbl
Pde5a,1.8241,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pde5a
Ptprr,1.8001,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ptprr
Arntl,1.7862,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Arntl
Tacc1,1.782,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tacc1
Dlgh2,1.7603,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dlgh2
1190002N15Rik,1.756,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=1190002N15Rik
Rasl11b,1.7516,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rasl11b
Itpka,1.7362,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Itpka
2010110I21Rik*,1.7276,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=2010110I21Rik*
Tmem47,1.7156,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tmem47
Ptprz1,1.7076,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ptprz1
Cerk,1.6912,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cerk
Cxcl14,1.6902,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cxcl14
Zdhhc14,1.6741,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Zdhhc14
Sfxn5,1.6538,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Sfxn5
Mfap3l,1.647,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Mfap3l
Pscd3,1.6433,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pscd3
Itgb1bp1,1.6389,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Itgb1bp1
Pcp2,1.6383,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Pcp2
D6Wsu116e,1.6301,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=D6Wsu116e
A830073O21Rik,1.6164,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=A830073O21Rik
Btbd10,1.6092,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Btbd10
2310003H01Rik,1.609,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=2310003H01Rik
Hod,1.6043,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Hod
Parp1,1.5973,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Parp1
Metrn,1.5905,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Metrn
Lpgat1,1.5704,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Lpgat1
Drg2,1.5654,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Drg2
Chst8,1.56,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Chst8
Arhgap20,1.528,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Arhgap20
Phtf2,1.5243,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Phtf2
Lhx1,1.516,TRUE,http://www.informatics.jax.org/searchtool/Search.do?query=Lhx1
Ttc4,1.4904,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Ttc4
Bphl,1.4844,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Bphl
Atp2a1,1.4801,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Atp2a1
2310007H09Rik,1.4409,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=2310007H09Rik
Cdr2,1.4311,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cdr2
Cldnd1,1.4307,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cldnd1
A230063L24Rik,1.4306,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=A230063L24Rik
Mesdc1,1.4084,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Mesdc1
Inpp1,1.402,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Inpp1
Astn1,1.3983,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Astn1
Dgkg,1.3916,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dgkg
B230317C12Rik,1.3912,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=B230317C12Rik
Dirc2,1.3607,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dirc2
Agpat7,1.3599,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Agpat7
Abr,1.3484,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Abr
Fvt1,1.3474,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Fvt1
Polr3k,1.3443,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Polr3k
Cpeb1,1.3361,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cpeb1
4833424O15Rik,1.3193,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=4833424O15Rik
Dgcr2,1.31,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dgcr2
Nefh,1.3032,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Nefh
Tmem142b,1.3005,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tmem142b
Mm.275698,1.2935,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Mm.275698
Centd2,1.2841,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Centd2
Cacnb2,1.2633,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cacnb2
Cds1,1.2613,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cds1
Aldoc,1.2504,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Aldoc
8030451F13Rik,1.248,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=8030451F13Rik
2310005P05Rik,1.2462,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=2310005P05Rik
